"population","location"
5917,"Nolanville"
469,"Nome"
612,"Noonday"
336,"Nordheim"
54,"Normandy"
495,"Normangee"
98,"Normanna"
3722,"North Alamo"
225,"North Cleveland"
162,"North Escobares"
5201,"Northlake"
739,"North Pearsall"
69917,"North Richland Hills"
735,"North San Pedro"
122,"Novice"
617,"Oak Grove"
148,"Oakhurst"
371,"Oak Island"
1552,"Oak Leaf"
4357,"Oak Point"
242,"Oak Ridge town (Cooke"
771,"Oak Ridge town (Kaufman"
3057,"Oak Ridge North"
2979,"Oak Trail Shores"
406,"Oak Valley"
389,"Oakwood"
91,"O'Brien"
2255,"Odem"
114428,"Odessa"
661,"New Hope"
704,"O'Donnell"
441,"Oglesby"
270,"Oilton"
88,"Oklaunion"
1315,"Old River-Winfree"
4248,"Olivarez"
49,"Olivia Lopez de Gutierrez"
1021,"Olmito"
276,"Olmito and Olmito"
2180,"Olmos Park"
3007,"Olney"
1989,"Olton"
936,"Omaha"
3020,"Onalaska"
220,"Opdyke West"
19324,"Orange"
1165,"Orange Grove"
45688,"Channelview"
281,"Channing"
142,"Chaparrito"
42,"Chapeno"
1524,"Charlotte"
270,"Chester"
946,"Chico"
5737,"Childress"
549,"Chillicothe"
776,"Chilton"
1260,"China"
1141,"China Grove"
1436,"China Spring"
370,"Chireno"
337,"Christine"
482,"Christoval"
257,"Chula Vista CDP (Cameron"
5100,"Chula Vista CDP (Maverick"
307,"Chula Vista CDP (Zavala"
32276,"Cibolo"
3025,"Cienegas Terrace"
16899,"Cinco Ranch"
2588,"Circle D-KC Estates"
3883,"Cisco"
3291,"Citrus City"
1877,"Clarendon"
2857,"Clarksville"
780,"Clarksville City"
1186,"Claude"
139,"Clay"
1258,"Clear Lake Shores"
31352,"Cleburne"
7471,"Cleveland"
3465,"Clifton"
923,"Clint"
24100,"Cloverleaf"
10604,"Clute"
3811,"Clyde"
945,"Coahoma"
3815,"Cockrell Hill"
249,"Coffee City"
819,"Coldspring"
3912,"Coleman"
120511,"College Station"
26057,"Colleyville"
1866,"Collinsville"
542,"Colmesneil"
127,"Colorado Acres"
3991,"Colorado City"
3699,"Columbus"
4211,"Comanche"
2999,"Combes"
2245,"Combine"
2211,"Comfort"
9090,"Commerce"
728,"Como"
42,"Concepcion"
89956,"Conroe"
88,"Orason"
313,"Orchard"
1108,"Ore City"
2275,"Overton"
4304,"Ovilla"
189,"Owl Ranch"
1173,"Oyster Creek"
2663,"Ozona"
80,"Pablo Pena"
1063,"Paducah"
278,"Paige"
237,"Paint Rock"
96,"Paisano Park"
4395,"Palacios"
18544,"Palestine"
268,"Palisades"
2393,"Palmer"
2601,"Palmhurst"
1413,"Palm Valley"
15830,"Palmview"
2008,"Palmview South"
238,"Palo Blanco"
3177,"Paloma Creek"
9539,"Paloma Creek South"
276,"Palo Pinto"
16867,"Pampa"
2378,"Panhandle"
2515,"Panorama Village"
2568,"Pantego"
475,"Paradise"
24476,"Paris"
5462,"Parker"
151950,"Pasadena"
547,"Pattison"
1647,"Patton Village"
140,"Pawnee"
741,"Payne Springs"
125828,"Pearland"
7325,"Pearsall"
4808,"Pecan Acres"
178,"Pecan Gap"
22782,"Pecan Grove"
735,"Pecan Hill"
6236,"Pecan Plantation"
12916,"Pecos"
2049,"Pelican Bay"
73,"Pena"
845,"Pendleton"
180,"Penelope"
6460,"Penitas"
2685,"Perezville"
346,"Perrin"
8492,"Perryton"
1014,"Petersburg"
514,"Petrolia"
89,"Petronila"
449,"Pettus"
140,"Petty"
