"zcta","City","population","ZIP_CODE","PO_NAME","STATE"
"75153","Powell",536,"75153","Powell","TX"
"75154","Red Oak",45894,"75154","Red Oak","TX"
"75155","Rice",3485,"75155","Rice","TX"
"75156","Mabank",15708,"75156","Mabank","TX"
"75157","Rosser",258,"75157","Rosser","TX"
"75158","Scurry",5214,"75158","Scurry","TX"
"75159","Seagoville",22127,"75159","Seagoville","TX"
"75160","Terrell",26632,"75160","Terrell","TX"
"75161","Terrell",7552,"75118","Elmo","TX"
"75161","Terrell",7552,"75161","Terrell","TX"
"75163","Trinidad",2317,"75163","Trinidad","TX"
"75164","Josephine",335,"75164","Josephine","TX"
"75165","Waxahachie",49805,"75165","Waxahachie","TX"
"75165","Waxahachie",49805,"75168","Waxahachie","TX"
"75166","Lavon",5457,"75166","Lavon","TX"
"75167","Waxahachie",12455,"75167","Waxahachie","TX"
"75169","Wills Point",17017,"75169","Wills Point","TX"
"75172","Wilmer",5519,"75172","Wilmer","TX"
"75173","Nevada",7733,"75173","Nevada","TX"
"75173","Nevada",7733,"75121","Copeville","TX"
"75180","Balch Springs",26860,"75180","Balch Springs","TX"
"75181","Mesquite",27027,"75181","Mesquite","TX"
"75182","Sunnyvale",7806,"75182","Sunnyvale","TX"
"75189","Royse City",37777,"75189","Royse City","TX"
"75201","Dallas",17740,"75395","Dallas","TX"
"75201","Dallas",17740,"75250","Dallas","TX"
"75201","Dallas",17740,"75221","Dallas","TX"
"75201","Dallas",17740,"75313","Dallas","TX"
"75201","Dallas",17740,"75201","Dallas","TX"
"75202","Dallas",2529,"75242","Dallas","TX"
"75202","Dallas",2529,"75202","Dallas","TX"
"75203","Dallas",14710,"75203","Dallas","TX"
"75204","Dallas",34012,"75204","Dallas","TX"
"75205","Dallas",26299,"75275","Dallas","TX"
"75205","Dallas",26299,"75205","Dallas","TX"
"75206","Dallas",40386,"75206","Dallas","TX"
"75206","Dallas",40386,"75360","Dallas","TX"
"75206","Dallas",40386,"75372","Dallas","TX"
"75207","Dallas",7116,"75207","Dallas","TX"
"75208","Dallas",29446,"75267","Dallas","TX"
"75208","Dallas",29446,"75266","Dallas","TX"
"75208","Dallas",29446,"75392","Dallas","TX"
"75208","Dallas",29446,"75373","Dallas","TX"
"75208","Dallas",29446,"75285","Dallas","TX"
"75208","Dallas",29446,"75312","Dallas","TX"
"75208","Dallas",29446,"75284","Dallas","TX"
"75208","Dallas",29446,"75320","Dallas","TX"
"75208","Dallas",29446,"75283","Dallas","TX"
"75208","Dallas",29446,"75260","Dallas","TX"
"75208","Dallas",29446,"75397","Dallas","TX"
"75208","Dallas",29446,"75326","Dallas","TX"
"75208","Dallas",29446,"75265","Dallas","TX"
"75208","Dallas",29446,"75264","Dallas","TX"
"75208","Dallas",29446,"75263","Dallas","TX"
"75208","Dallas",29446,"75262","Dallas","TX"
"75208","Dallas",29446,"75222","Dallas","TX"
"75208","Dallas",29446,"75208","Dallas","TX"
"75209","Dallas",14740,"75209","Dallas","TX"
"75210","Dallas",8736,"75210","Dallas","TX"
"75211","Dallas",70695,"75398","Dallas","TX"
"75211","Dallas",70695,"75211","Dallas","TX"
"75212","Dallas",27329,"75212","Dallas","TX"
"75214","Dallas",35664,"75214","Dallas","TX"
"75214","Dallas",35664,"75359","Dallas","TX"
"75215","Dallas",18806,"75277","Dallas","TX"
"75215","Dallas",18806,"75371","Dallas","TX"
"75215","Dallas",18806,"75315","Dallas","TX"
"75215","Dallas",18806,"75215","Dallas","TX"
"75216","Dallas",55759,"75216","Dallas","TX"
"75216","Dallas",55759,"75339","Dallas","TX"
"75217","Dallas",85330,"75217","Dallas","TX"
"75217","Dallas",85330,"75303","Dallas","TX"
"75218","Dallas",23136,"75218","Dallas","TX"
"75218","Dallas",23136,"75394","Dallas","TX"
